Simulation,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Sum
17,15,19.2,16,Right,2.16,8.15,9.11,8.44,8.49,9.06,8.36,9.12,8.37,9.18,80.44
1,8.7,19.2,16,Right,2.2,8,9.2,8.4,8.12,9.2,8.3,9.3,8.4,9.21,80.33
9,30,19.2,16,Right,2.1733333,7.7933333,9.1733333,8.3933333,8.0933333,9.2266667,8.3533333,9.3333333,8.48,9.2066667,80.2266665
2,8.7,19.2,39.5,Right,1.82,6.0466667,7.06,6.6,6.16,7.0533333,6.76,7.34,6.8533333,7.06,62.7533333
10,30,19.2,39.5,Right,1.7933333,6.1066667,7.0466667,6.5133333,6.6266667,7.2533333,6.46,7.16,6.5533333,7.1266667,62.64
18,15,19.2,39.5,Right,2.03,6.03,7.09,6.6,6.65,7.13,6.5,7.01,6.5,6.99,62.53
3,8.7,2,16,Right,0,0.04,4.1466667,6.4733333,7.18,8.2933333,7.7533333,8.68,8.0066667,9.0866667,59.66
19,15,2,16,Right,0,0,3.11,5.51,6.54,7.76,7.52,8.78,7.91,8.6,55.73
4,8.7,2,39.5,Right,0,0.52,4.52,5.56,5.3933333,6.4933333,6.2866667,7.0266667,6.62,6.84,49.26
20,15,2,39.5,Right,0,0.57,4.07,5.1,5.48,6.26,6.12,6.91,6.09,6.62,47.22
11,30,2,16,Right,0,0,1.3666667,3.92,4.7133333,6.5333333,6.7333333,7.7066667,7.3466667,7.9733333,46.2933333
12,30,2,39.5,Right,0,0.3866667,3.3133333,4.3466667,5.0133333,5.9066667,5.3733333,6.24,5.8666667,6.2933333,42.74
22,15,19.2,39.5,Left,1.31,3.18,3.76,3.41,3.76,3.94,3.6,3.86,3.62,3.85,34.29
6,8.7,19.2,39.5,Left,1.0933333,3.2333333,3.8333333,3.3866667,3.2266667,3.8666667,3.6533333,3.9466667,3.7933333,3.74,33.7733333
14,30,19.2,39.5,Left,1.0466667,3.0733333,3.5866667,3.4266667,3.62,3.6466667,3.3533333,3.9933333,3.4466667,3.8466667,33.0400001
8,8.7,2,39.5,Left,0.2266667,0,1.1466667,1.86,2.28,2.7466667,3.0866667,3.3,3.36,3.38,21.3866668
24,15,2,39.5,Left,0,0,0.69,1.47,2.21,2.6,2.72,3.01,2.78,3.13,18.61
5,8.7,19.2,16,Left,0.9066667,1.66,1.96,1.7066667,1.7266667,1.8266667,2.1066667,2.1,1.9666667,2.0066667,17.9666669
21,15,19.2,16,Left,0.37,1.36,1.72,1.8,1.6,2.08,1.87,2.03,1.82,1.84,16.49
13,30,19.2,16,Left,0.2733333,0.9466667,1.74,1.9,1.7866667,1.94,1.7266667,1.7666667,1.86,2.06,16.0000001
16,30,2,39.5,Left,0,0,0,0.3933333,1.16,1.44,1.8466667,2.3866667,2.2933333,2.64,12.16
7,8.7,2,16,Left,0.1933333,0,0,0.1466667,0.5733333,0.9266667,1.3466667,1.5533333,1.4533333,1.6866667,7.88
23,15,2,16,Left,0,0,0,0,0.14,0.47,0.74,1.05,1.27,1.36,5.03
15,30,2,16,Left,0,0,0,0,0,0,0.0133333,0.2066667,0.3333333,0.62,1.1733333
