Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10
8.7,19.2,16.0,Right,0.0,0.13333333333333333,0.23333333333333334,0.2066666666666667,0.28,0.30000000000000004,0.34,0.35333333333333333,0.38,0.31333333333333335
8.7,19.2,39.5,Right,0.11333333333333334,3.1933333333333334,3.9933333333333336,3.3866666666666667,3.7733333333333334,3.846666666666667,3.8133333333333335,3.9800000000000004,3.546666666666667,4.213333333333334
8.7,2.0,16.0,Right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000005
8.7,2.0,39.5,Right,0.0,0.0,0.12000000000000001,0.9866666666666667,1.8466666666666667,2.1933333333333334,2.546666666666667,2.9200000000000004,2.68,3.246666666666667
8.7,19.2,16.0,Left,0.0,1.2333333333333334,1.7533333333333334,1.8266666666666669,1.7200000000000002,1.8533333333333335,1.54,1.9400000000000002,1.7733333333333334,1.8
8.7,19.2,39.5,Left,0.16,4.046666666666667,5.380000000000001,4.833333333333334,4.966666666666667,5.54,4.766666666666667,5.273333333333333,4.966666666666667,5.3133333333333335
8.7,2.0,16.0,Left,0.0,0.0,0.0,0.0,0.11333333333333334,0.4666666666666667,0.5466666666666667,0.9333333333333333,1.1066666666666667,1.1600000000000001
8.7,2.0,39.5,Left,0.0,0.0,0.37333333333333335,1.9466666666666668,2.62,3.4533333333333336,3.3400000000000003,4.053333333333334,4.04,4.286666666666667
30.0,19.2,16.0,Right,0.0,0.0,0.12000000000000001,0.16,0.22,0.26666666666666666,0.33333333333333337,0.32666666666666666,0.38,0.29333333333333333
30.0,19.2,39.5,Right,0.14666666666666667,2.7,3.64,3.2733333333333334,3.72,3.9266666666666667,3.606666666666667,3.8666666666666667,3.54,3.8600000000000003
30.0,2.0,16.0,Right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,39.5,Right,0.0,0.7333333333333334,1.5066666666666668,1.7200000000000002,1.6533333333333335,1.82,1.5133333333333334,1.9000000000000001,1.7466666666666668,1.8
30.0,19.2,16.0,Left,0.0,0.56,1.52,1.4800000000000002,1.5533333333333335,1.7466666666666668,1.4533333333333334,1.8266666666666669,1.58,1.9533333333333334
30.0,19.2,39.5,Left,0.19333333333333336,3.3600000000000003,5.053333333333334,4.666666666666667,4.846666666666667,5.466666666666667,4.753333333333334,5.233333333333333,4.926666666666667,5.28
30.0,2.0,16.0,Left,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,39.5,Left,0.0,0.0,0.0,0.64,1.28,1.9333333333333333,1.9600000000000002,2.686666666666667,2.8266666666666667,3.046666666666667
15.0,19.2,16.0,Right,0.0,0.05333333333333334,0.2,0.18666666666666668,0.26666666666666666,0.30000000000000004,0.32666666666666666,0.35333333333333333,0.38,0.31333333333333335
15.0,19.2,39.5,Right,0.15333333333333335,2.9533333333333336,3.8533333333333335,3.3333333333333335,3.766666666666667,3.806666666666667,3.786666666666667,3.9733333333333336,3.54,4.2
15.0,2.0,16.0,Right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,39.5,Right,0.0,0.0,0.0,0.64,1.32,1.8333333333333335,2.046666666666667,2.44,2.44,2.8933333333333335
15.0,19.2,16.0,Left,0.0,1.0333333333333334,1.6400000000000001,1.78,1.7066666666666668,1.8466666666666667,1.5333333333333334,1.9266666666666667,1.7533333333333334,1.8
15.0,19.2,39.5,Left,0.2,3.8000000000000003,5.293333333333334,4.8133333333333335,4.92,5.5200000000000005,4.766666666666667,5.260000000000001,4.946666666666667,5.3133333333333335
15.0,2.0,16.0,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.5133333333333334,0.5466666666666667,0.7400000000000001
15.0,2.0,39.5,Left,0.0,0.0,0.18000000000000002,1.3933333333333333,2.02,2.8600000000000003,2.8200000000000003,3.506666666666667,3.486666666666667,3.8666666666666667
